location_PK,Division,Longitude,Latitude
2836,D32,-79.46616341,43.73266395
2837,D42,-79.1576884,43.80125743
2838,D11,-79.45893065,43.67443246
2839,D55,-79.34432378,43.67158965
2840,D54,-79.34464963,43.6873781
2841,D14,-79.40172204,43.65628785
2842,D13,-79.44989375,43.68749473
2843,D42,-79.20611667,43.80925039
2844,D11,-79.4640203,43.67005689
2845,D43,-79.25460144,43.77252457
2846,D43,-79.20110309,43.79426004
2847,D23,-79.58966772,43.74291772
2848,D55,-79.34817882,43.66318305
2849,D14,-79.43292541,43.66378717
2850,D51,-79.36825854,43.66505739
2851,D52,-79.39692918,43.65528489
2852,D55,-79.32659503,43.66220958
2853,D12,-79.50794345,43.69120603
2854,D51,-79.38307051,43.66137201
2855,D55,-79.29265957,43.68365894
2856,D31,-79.5216948,43.77547126
2857,D42,-79.15584952,43.79966588
2858,D55,-79.33962849,43.65401271
